,src,mt,ref,correctness,repetitions,named-entities,omission,strong-unsupport,full-unsupport
0,Nur Leib wir leben für andere ist werd.,Only we live for others is who.,"Only life we live for others, is worthy.",0,0,0,0,0,0
1,"Also, es ist nicht nur ein Verzeichnis.",So it is not just a directory.,"Wel, Natural Links aint just your ordinary directory.",1,0,0,0,0,0
2,Lassen Sie mich zunächst meine Verlegenheit zum Ausdruck bringen.,Let me begin by expressing my embarrassment.,"Let me say, first, that I am confused.",1,0,0,0,0,0
3,"Wir appellieren an den Rat, sich aktiv an diesem Prozeß zu beteiligen.",We call on the Council to play an active part in this process.,We would urge the Council to play an active part in this process.,1,0,0,0,0,0
4,Dafür gibt es jedoch triftige Gründe.,"There are, however, valid reasons for this.",Yet there is a convincing case to be made.,1,0,0,0,0,0
5,"Herr Präsident, meine sehr geehrten Damen und Herren!","Mr President, ladies and gentlemen.","Mr President, ladies and gentlemen.",1,0,0,0,0,0
6,Bis hierhin bin ich einverstanden.,"So far, I agree.",Up to this point I am for.,1,0,0,0,0,0
7,"Vielen Dank, Herr Ratspräsident!","Thank you, Mr President-in-Office.","Thank you, Mr President-in-Office.",1,0,0,0,0,0
8,"Alle Zimmer verfügen über Dusche/WC/Bidet, Balkon mit Meeresblick, Telefon mit Direktwahl, Minibar, Safe, Klimaanlage, Deckenventilator, Fön, SAT-TV.","All rooms have shower/WC/bidet, balcony with sea view, telephone with direct dial, minibar, safe, air conditioning, ceiling fan, hairdryer, satellite TV.","All rooms have balcony and sea view and are equipped with private en-suite facilities with shower or bath, hairdryer, telephone, mini bar, safe, air-conditioning and satellite TV.",1,0,0,0,0,0
9,"Geht man von der Annahme aus, die Milchquoten würden bis zum Jahr 2005 unverändert beibehalten, so dürfte sich die Milchgesamterzeugung aufgrund steigender Fettgehalte leicht verringern.","Assuming that milk quotas will remain unchanged until 2005, milk production is expected to decrease slightly as a result of the rise in fat content.","If one assumes that milk quotas will continue and stay unchanged until 2005, then total milk output is forecast to decline slightly because of increasing fat levels.",1,0,0,0,0,0
10,Entscheidung des Gerichtshofs,Judgment of the Court of Justice,Judgment of Court of Justice,1,0,0,0,0,0
11,"Ein stolzes Jubiläum, das zum Feiern Anlaß gibt.",A proud celebration.,A proud anniversary that gives cause for celebrating.,0,0,0,1,1,0
12,Erweiterung des Schengen-Raums,Enlargement of the Schengen area,Enlargement of the Schengen area,1,0,0,0,0,0
