orig_id	src	ref	error_class	mt_default	mt_alti	mt_labse	mt_comet	mt0	mt1	mt2	mt3	label0	label1	label2	label3	comment	GOOGLE TRANSLATE	annotator
1658	Das Fenster geht zu einem schmalen Innenhof mit etwas Licht.	It also has a small wardrobe and a window to a small patio with some light.	3	There was no air conditioning in the room.	The hotel is in a good location for exploring the city.	It is a bit far from the centre of the city.	There was no air conditioning in the room.	There was no air conditioning in the room.	It is a bit far from the centre of the city.	The hotel is in a good location for exploring the city.		FULL_H	FULL_H	FULL_H		ref?? (wardrobe not mentionned in source)	The window faces a narrow courtyard with some light.	annotator_1
745	Frühstückbüffet ist sehr gut und vielseitig.	The staff very friendly and helpful.	3	The staff were very friendly and helpful.	The staff were very friendly and helpful. The room was clean and comfortable.	The breakfast buffet is very good and varied.	The breakfast buffet is very good and varied.	The staff were very friendly and helpful.	The breakfast buffet is very good and varied.	The staff were very friendly and helpful. The room was clean and comfortable.		FULL_H	OK	FULL_H			Breakfast buffet is very good and varied.	annotator_1
2525	Bitte nur Wortmeldungen zur Geschäftsordnung.	Statements on standing orders only, please.	2	Please move on to the Rules of Procedure.	Please allow me just to speak on a point of order.	Please only speak on a point of order.	Please allow me just to speak on a point of order.	Please move on to the Rules of Procedure.	Please only speak on a point of order.	Please allow me just to speak on a point of order.		FULL_H	OK	PART_H			Please only requests to speak on the Rules of Procedure.	annotator_1
111	Entfernung vom Flughafen zum Hotel - ca.	Distance from Airport to Hotels - approx.	3	The staff were very friendly and helpful.	Distance from the airport to the hotel - approx.	Distance from the airport to the hotel - approx.	Distance from the airport to the hotel - approx.	The staff were very friendly and helpful.	Distance from the airport to the hotel - approx.			FULL_H	OK				Distance from the airport to the hotel - approx.	annotator_1
453	Februar 1997 angenommenen Entschließung ABl.	61. adopted on 19 February 1997;	3	Resolution OJ L 208, p.	February 1997 OJ OJ L 262, p.	Resolution No, adopted in February 1997.	Resolution No, adopted in February 1997.	Resolution OJ L 208, p.	Resolution No, adopted in February 1997.	February 1997 OJ OJ L 262, p.		FULL_H	OTHER	PART_H		ref?? (19??)	February 1997 OJ.	annotator_1
3163	Kfz-Kraftstoffbehälter und Unterfahrschutz	Motor vehicles and trailers	1	Car fuel tanks and under-protection	Vehicle fuel tanks and under-protection	Vehicle fuel tanks and under-protection	Vehicle fuel tanks and submarine protection	Car fuel tanks and under-protection	Vehicle fuel tanks and submarine protection	Vehicle fuel tanks and under-protection		OK	PART_H	OK		"ref ""trailers"" is not correct I think. ""Unterfahrschutz"" is skid plate = protection under the car"	Automotive fuel tank and skid plate	annotator_1
3116	Freundliches Hotel von 3 Sternen kocht familiär und gut umgebend.	Cosy Hotel of 3 stars acclimates relative and good kitchen.	2	The staff were very friendly and helpful. The room was clean and comfortable.	Friendly hotel of 3 stars cooked family and well appointed.	Friendly hotel of 3 stars cooks family and well-appointed.	The hotel was very clean and the staff were friendly and helpful.	The hotel was very clean and the staff were friendly and helpful.	Friendly hotel of 3 stars cooks family and well-appointed.	The staff were very friendly and helpful. The room was clean and comfortable.	Friendly hotel of 3 stars cooked family and well appointed.	FULL_H	OTHER	FULL_H	OTHER		Friendly hotel of 3 stars, cooks family and well ambient.	annotator_1
2098	Sie ist von ihr abgestoßen.	They are repulsed by it.	3	It has come out of it.	It has voted against.	It has come down from her.	She has fallen victim to it.	She has fallen victim to it.	It has come down from her.	It has come out of it.	It has voted against.	FULL_H	FULL_H	FULL_H	FULL_H		She is repelled by her.	annotator_1
2890	"Kommende Engagements führen ihn unter anderem zurück an das Theater Baden, wo er zunächst in der Rolle des Sou Chong, danach in der Titelpartie von Gounods ""Faust"" debütieren wird."	"Upcoming engagements include his return to the Theatre Baden, first as Sou Chong (""Das Land des Lächelns"") and then in the title role of Gounod's ""Faust."""	3	He has also appeared in a number of television series, including The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , and The Writers of the Year .	"Coming commitments led him, among others, back to the Theater Baden, where he will debut first in the role of Sou Chong, and then in the title part of Gounod's ""För."""	"Coming commitments will lead him back to the theatre of Baden, where he will debut in the role of Sou Chong, then in the title of Gounod's ""Faus."""	"Coming commitments will lead him back to the theatre of Baden, where he will debut in the role of Sou Chong, then in the title of Gounod's ""Faus."""	He has also appeared in a number of television series, including The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , The Writers of the Year , and The Writers of the Year .	"Coming commitments will lead him back to the theatre of Baden, where he will debut in the role of Sou Chong, then in the title of Gounod's ""Faus."""	"Coming commitments led him, among others, back to the Theater Baden, where he will debut first in the role of Sou Chong, and then in the title part of Gounod's ""För."""		FULL_H	OK	PART_H			"Coming engagements will take him back to the Theater Baden, where he will make his debut in the role of Sou Chong and then in the title role of Gounod's ""Faust""."	annotator_1
64	Dominique BUSSEREAU Staatssekretär für Verkehr	Mr Dominique BUSSEREAU Minister of State with responsibility for Transport	3	For further information, please contact Christopher Fretwell	Mr Dominique BUSSEREAU State Secretary for Transport	Dominique BUSSEREAU State Secretary for Transport	Dominique BUSSEREAU State Secretary for Transport	For further information, please contact Christopher Fretwell	Dominique BUSSEREAU State Secretary for Transport	Mr Dominique BUSSEREAU State Secretary for Transport		FULL_H	OK	OK			Dominique BUSSEREAU Secretary of State for Transport	annotator_1
